value_decimal,initial_num_gates,lowest_gates,delta_gates
11262,12,12,0
11463,14,14,0
11336,13,11,2
11471,12,10,2
11460,16,12,4
11470,12,10,2
11495,13,13,0
11487,12,12,0
11485,13,9,4
11496,12,12,0
11484,10,9,1
11508,11,12,-1
11464,11,11,0
11477,12,11,1
11458,13,10,3
11469,17,14,3
11505,13,12,1
11503,11,11,0
11494,13,12,1
11466,13,12,1
11498,12,11,1
11457,17,17,0
11465,17,17,0
11509,14,11,3
11459,14,13,1
11657,13,12,1
11617,15,10,5
11514,13,11,2
11499,15,12,3
11675,15,14,1
11618,18,16,2
11729,14,14,0
11677,13,11,2
11741,8,7,1
11732,17,16,1
11744,11,10,1
11728,13,11,2
11733,12,12,0
11757,11,10,1
11706,16,14,2
11736,15,11,4
11730,13,10,3
11764,13,11,2
