value_decimal,initial_num_gates,lowest_gates,delta_gates
11752,14,14,0
11758,14,13,1
12000,12,9,3
11910,13,13,0
11762,12,11,1
11929,13,12,1
11735,15,13,2
12004,14,11,3
11930,16,16,0
11956,12,12,0
11864,16,14,2
12002,11,9,2
12012,11,9,2
12006,13,11,2
12001,15,12,3
12016,10,9,1
11960,13,13,0
12003,13,12,1
11873,18,17,1
12018,12,9,3
12005,16,12,4
11739,18,17,1
11965,14,13,1
12021,13,11,2
12020,13,10,3
12015,11,8,3
12017,13,12,1
12019,12,11,1
12026,10,8,2
12023,14,12,2
12030,10,8,2
12007,14,12,2
12029,14,13,1
12027,12,11,1
12196,11,11,0
12008,15,11,4
12272,8,8,0
12124,14,12,2
12287,6,6,0
12274,9,9,0
12025,16,14,2
12105,13,12,1
12280,11,11,0
12282,9,9,0
12276,12,11,1
12277,11,10,1
12009,15,15,0
12275,12,9,3
12216,14,13,1
12279,12,9,3
12285,11,10,1
12281,13,13,0
12227,13,11,2
12278,14,12,2
12221,14,13,1
12286,13,11,2
12923,13,10,3
12283,14,14,0
12118,17,15,2
12898,12,11,1
12843,12,11,1
13015,14,14,0
12582,17,13,4
12836,14,12,2
13036,11,11,0
12568,14,14,0
12844,12,11,1
13019,15,15,0
13246,12,12,0
13444,13,11,2
13440,11,11,0
13271,12,12,0
13415,13,13,0
13291,11,11,0
13382,14,14,0
13037,14,13,1
14060,13,11,2
13181,13,13,0
14038,14,13,1
13459,13,11,2
13384,12,11,1
14492,10,10,0
14521,12,10,2
14491,11,11,0
14477,17,14,3
14075,13,12,1
14034,16,17,-1
14069,14,13,1
14572,12,11,1
14473,14,11,3
14490,13,13,0
14479,13,11,2
14465,16,11,5
14061,16,16,0
14204,12,11,1
14505,16,13,3
15322,12,12,0
14839,12,11,1
14494,16,15,1
15028,14,14,0
15572,13,10,3
15292,13,11,2
15284,13,12,1
15568,12,12,0
15573,12,11,1
14817,16,17,-1
14545,14,12,2
15575,13,10,3
15553,14,11,3
15073,15,15,0
15596,11,8,3
15583,14,10,4
15576,13,12,1
15594,13,12,1
15582,13,12,1
15584,13,13,0
15557,17,14,3
15595,14,11,3
14814,16,16,0
15598,10,9,1
15563,14,13,1
15589,15,12,3
15597,14,13,1
15559,15,14,1
15613,12,10,2
15614,13,10,3
15705,14,14,0
15602,13,12,1
15869,9,8,1
15599,15,11,4
15601,14,13,1
15852,11,10,1
15832,16,13,3
15829,11,10,1
15828,13,12,1
15770,17,17,0
15836,12,12,0
15865,12,11,1
15855,15,11,4
15871,10,8,2
15851,17,14,3
15839,16,11,5
15870,15,15,0
15562,15,13,2
15838,15,15,0
16072,14,11,3
15834,16,14,2
16100,16,12,4
15831,15,12,3
16013,14,13,1
16364,10,9,1
